Datum;Tag;Monat;Stunde;Verbrauch
01.01. 00:00;01;01;00;0,063716
01.01. 01:00;01;01;01;0,039619
01.01. 02:00;01;01;02;0,033074
01.01. 03:00;01;01;03;0,031595
01.01. 04:00;01;01;04;0,031444
01.01. 05:00;01;01;05;0,028511
01.01. 06:00;01;01;06;0,062813
01.01. 07:00;01;01;07;0,082071
01.01. 08:00;01;01;08;0,088641
01.01. 09:00;01;01;09;0,11966
01.01. 10:00;01;01;10;0,16066
01.01. 11:00;01;01;11;0,16958
01.01. 12:00;01;01;12;0,15742
01.01. 13:00;01;01;13;0,15386
01.01. 14:00;01;01;14;0,15973
01.01. 15:00;01;01;15;0,18393
01.01. 16:00;01;01;16;0,20344
01.01. 17:00;01;01;17;0,23287
01.01. 18:00;01;01;18;0,25103
01.01. 19:00;01;01;19;0,24754
01.01. 20:00;01;01;20;0,2418
01.01. 21:00;01;01;21;0,21249
01.01. 22:00;01;01;22;0,15807
01.01. 23:00;01;01;23;0,10544
02.01. 00:00;02;01;00;0,063716
02.01. 01:00;02;01;01;0,039619
02.01. 02:00;02;01;02;0,033074
02.01. 03:00;02;01;03;0,031595
02.01. 04:00;02;01;04;0,031444
02.01. 05:00;02;01;05;0,028511
02.01. 06:00;02;01;06;0,062813
02.01. 07:00;02;01;07;0,082071
02.01. 08:00;02;01;08;0,088641
02.01. 09:00;02;01;09;0,11966
02.01. 10:00;02;01;10;0,16066
02.01. 11:00;02;01;11;0,16958
02.01. 12:00;02;01;12;0,15742
02.01. 13:00;02;01;13;0,15386
02.01. 14:00;02;01;14;0,15973
02.01. 15:00;02;01;15;0,18393
02.01. 16:00;02;01;16;0,20344
02.01. 17:00;02;01;17;0,23287
02.01. 18:00;02;01;18;0,25103
02.01. 19:00;02;01;19;0,24754
02.01. 20:00;02;01;20;0,2418
02.01. 21:00;02;01;21;0,21249
02.01. 22:00;02;01;22;0,15807
02.01. 23:00;02;01;23;0,10544
03.01. 00:00;03;01;00;0,063716
03.01. 01:00;03;01;01;0,039619
03.01. 02:00;03;01;02;0,033074
03.01. 03:00;03;01;03;0,031595
03.01. 04:00;03;01;04;0,031444
03.01. 05:00;03;01;05;0,028511
03.01. 06:00;03;01;06;0,062813
03.01. 07:00;03;01;07;0,082071
03.01. 08:00;03;01;08;0,088641
03.01. 09:00;03;01;09;0,11966
03.01. 10:00;03;01;10;0,16066
03.01. 11:00;03;01;11;0,16958
03.01. 12:00;03;01;12;0,15742
03.01. 13:00;03;01;13;0,15386
03.01. 14:00;03;01;14;0,15973
03.01. 15:00;03;01;15;0,18393
03.01. 16:00;03;01;16;0,20344
03.01. 17:00;03;01;17;0,23287
03.01. 18:00;03;01;18;0,25103
03.01. 19:00;03;01;19;0,24754
03.01. 20:00;03;01;20;0,2418
03.01. 21:00;03;01;21;0,21249
03.01. 22:00;03;01;22;0,15807
03.01. 23:00;03;01;23;0,10544
04.01. 00:00;04;01;00;0,063716
04.01. 01:00;04;01;01;0,039619
04.01. 02:00;04;01;02;0,033074
04.01. 03:00;04;01;03;0,031595
04.01. 04:00;04;01;04;0,031444
04.01. 05:00;04;01;05;0,028511
04.01. 06:00;04;01;06;0,062813
04.01. 07:00;04;01;07;0,082071
04.01. 08:00;04;01;08;0,088641
04.01. 09:00;04;01;09;0,11966
04.01. 10:00;04;01;10;0,16066
04.01. 11:00;04;01;11;0,16958
04.01. 12:00;04;01;12;0,15742
04.01. 13:00;04;01;13;0,15386
04.01. 14:00;04;01;14;0,15973
04.01. 15:00;04;01;15;0,18393
04.01. 16:00;04;01;16;0,20344
04.01. 17:00;04;01;17;0,23287
04.01. 18:00;04;01;18;0,25103
04.01. 19:00;04;01;19;0,24754
04.01. 20:00;04;01;20;0,2418
04.01. 21:00;04;01;21;0,21249
04.01. 22:00;04;01;22;0,15807
04.01. 23:00;04;01;23;0,10544
05.01. 00:00;05;01;00;0,072217
05.01. 01:00;05;01;01;0,047818
05.01. 02:00;05;01;02;0,034453
05.01. 03:00;05;01;03;0,031971
05.01. 04:00;05;01;04;0,031344
05.01. 05:00;05;01;05;0,028561
05.01. 06:00;05;01;06;0,061158
05.01. 07:00;05;01;07;0,070411
05.01. 08:00;05;01;08;0,07485
05.01. 09:00;05;01;09;0,11479
05.01. 10:00;05;01;10;0,16108
05.01. 11:00;05;01;11;0,17688
05.01. 12:00;05;01;12;0,17329
05.01. 13:00;05;01;13;0,18164
05.01. 14:00;05;01;14;0,17894
05.01. 15:00;05;01;15;0,18167
05.01. 16:00;05;01;16;0,19697
05.01. 17:00;05;01;17;0,22259
05.01. 18:00;05;01;18;0,2339
05.01. 19:00;05;01;19;0,22691
05.01. 20:00;05;01;20;0,22006
05.01. 21:00;05;01;21;0,18997
05.01. 22:00;05;01;22;0,1266
05.01. 23:00;05;01;23;0,085281
06.01. 00:00;06;01;00;0,066374
06.01. 01:00;06;01;01;0,049198
06.01. 02:00;06;01;02;0,037437
06.01. 03:00;06;01;03;0,033275
06.01. 04:00;06;01;04;0,032648
06.01. 05:00;06;01;05;0,029965
06.01. 06:00;06;01;06;0,050351
06.01. 07:00;06;01;07;0,053962
06.01. 08:00;06;01;08;0,047192
06.01. 09:00;06;01;09;0,087237
06.01. 10:00;06;01;10;0,13172
06.01. 11:00;06;01;11;0,1484
06.01. 12:00;06;01;12;0,14677
06.01. 13:00;06;01;13;0,1502
06.01. 14:00;06;01;14;0,15527
06.01. 15:00;06;01;15;0,14902
06.01. 16:00;06;01;16;0,15456
06.01. 17:00;06;01;17;0,17776
06.01. 18:00;06;01;18;0,19336
06.01. 19:00;06;01;19;0,20043
06.01. 20:00;06;01;20;0,19762
06.01. 21:00;06;01;21;0,17239
06.01. 22:00;06;01;22;0,11673
06.01. 23:00;06;01;23;0,075125
07.01. 00:00;07;01;00;0,063716
07.01. 01:00;07;01;01;0,039619
07.01. 02:00;07;01;02;0,033074
07.01. 03:00;07;01;03;0,031595
07.01. 04:00;07;01;04;0,031444
07.01. 05:00;07;01;05;0,028511
07.01. 06:00;07;01;06;0,062813
07.01. 07:00;07;01;07;0,082071
07.01. 08:00;07;01;08;0,088641
07.01. 09:00;07;01;09;0,11966
07.01. 10:00;07;01;10;0,16066
07.01. 11:00;07;01;11;0,16958
07.01. 12:00;07;01;12;0,15742
07.01. 13:00;07;01;13;0,15386
07.01. 14:00;07;01;14;0,15973
07.01. 15:00;07;01;15;0,18393
07.01. 16:00;07;01;16;0,20344
07.01. 17:00;07;01;17;0,23287
07.01. 18:00;07;01;18;0,25103
07.01. 19:00;07;01;19;0,24754
07.01. 20:00;07;01;20;0,2418
07.01. 21:00;07;01;21;0,21249
07.01. 22:00;07;01;22;0,15807
07.01. 23:00;07;01;23;0,10544
08.01. 00:00;08;01;00;0,063716
08.01. 01:00;08;01;01;0,039619
08.01. 02:00;08;01;02;0,033074
08.01. 03:00;08;01;03;0,031595
08.01. 04:00;08;01;04;0,031444
08.01. 05:00;08;01;05;0,028511
08.01. 06:00;08;01;06;0,062813
08.01. 07:00;08;01;07;0,082071
08.01. 08:00;08;01;08;0,088641
08.01. 09:00;08;01;09;0,11966
08.01. 10:00;08;01;10;0,16066
08.01. 11:00;08;01;11;0,16958
08.01. 12:00;08;01;12;0,15742
08.01. 13:00;08;01;13;0,15386
08.01. 14:00;08;01;14;0,15973
08.01. 15:00;08;01;15;0,18393
08.01. 16:00;08;01;16;0,20344
08.01. 17:00;08;01;17;0,23287
08.01. 18:00;08;01;18;0,25103
08.01. 19:00;08;01;19;0,24754
08.01. 20:00;08;01;20;0,2418
08.01. 21:00;08;01;21;0,21249
08.01. 22:00;08;01;22;0,15807
08.01. 23:00;08;01;23;0,10544
09.01. 00:00;09;01;00;0,063716
09.01. 01:00;09;01;01;0,039619
09.01. 02:00;09;01;02;0,033074
09.01. 03:00;09;01;03;0,031595
09.01. 04:00;09;01;04;0,031444
09.01. 05:00;09;01;05;0,028511
09.01. 06:00;09;01;06;0,062813
09.01. 07:00;09;01;07;0,082071
09.01. 08:00;09;01;08;0,088641
09.01. 09:00;09;01;09;0,11966
09.01. 10:00;09;01;10;0,16066
09.01. 11:00;09;01;11;0,16958
09.01. 12:00;09;01;12;0,15742
09.01. 13:00;09;01;13;0,15386
09.01. 14:00;09;01;14;0,15973
09.01. 15:00;09;01;15;0,18393
09.01. 16:00;09;01;16;0,20344
09.01. 17:00;09;01;17;0,23287
09.01. 18:00;09;01;18;0,25103
09.01. 19:00;09;01;19;0,24754
09.01. 20:00;09;01;20;0,2418
09.01. 21:00;09;01;21;0,21249
09.01. 22:00;09;01;22;0,15807
09.01. 23:00;09;01;23;0,10544
10.01. 00:00;10;01;00;0,063716
10.01. 01:00;10;01;01;0,039619
10.01. 02:00;10;01;02;0,033074
10.01. 03:00;10;01;03;0,031595
